path	node	rank
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;	Methanococcus	genus
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;	Methanothermococcus	genus
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;uncultured;	uncultured	genus
Archaea;Euryarchaeota;Methanomicrobia;	Methanomicrobia	class
Archaea;Euryarchaeota;Methanomicrobia;AK5;	AK5	order
Archaea;Euryarchaeota;Methanomicrobia;ANME-1;	ANME-1	order
Archaea;Euryarchaeota;Methanomicrobia;ANME-1;ANME-1a;	ANME-1a	family
Archaea;Euryarchaeota;Methanomicrobia;ANME-1;ANME-1b;	ANME-1b	family
Archaea;Euryarchaeota;Methanomicrobia;D-C06;	D-C06	order
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;	Methanocellales	order
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;BS-K-E9;	BS-K-E9	family
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;	Methanocellaceae	family
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Methanocella;	Methanocella	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;Methanocellaceae;Rice Cluster I;	Rice Cluster I	genus
Archaea;Euryarchaeota;Methanomicrobia;Methanocellales;MidArch4;	MidArch4	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;	Methanomicrobiales	order
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;02-02-504;	02-02-504	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;C19A;	C19A	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;EJ-E01;	EJ-E01	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;LR-13;	LR-13	family
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;	Methanocorpusculaceae	family
